age_Group,year,population
0-4,2025,153.633
0-4,2030,158.091
0-4,2035,160.717
0-4,2040,162.649
0-4,2045,163.779
0-4,2050,164.689
0-4,2055,166.906
0-4,2060,170.241
0-4,2065,173.359
0-4,2070,175.599
0-4,2075,177.429
0-4,2080,179.042
0-4,2085,180.85
0-4,2090,183.197
0-4,2095,185.487
0-4,2100,188.013
5-9,2025,148.008
5-9,2030,155.28
5-9,2035,159.744
5-9,2040,162.373
5-9,2045,164.307
5-9,2050,165.443
5-9,2055,166.355
5-9,2060,168.575
5-9,2065,171.912
5-9,2070,175.03
5-9,2075,177.271
5-9,2080,179.104
5-9,2085,180.718
5-9,2090,182.529
5-9,2095,184.877
5-9,2100,187.167
10-14,2025,153.46
10-14,2030,149.354
10-14,2035,156.629
10-14,2040,161.096
10-14,2045,163.728
10-14,2050,165.666
10-14,2055,166.803
10-14,2060,167.717
10-14,2065,169.94
10-14,2070,173.278
10-14,2075,176.398
10-14,2080,178.639
10-14,2085,180.474
10-14,2090,182.091
10-14,2095,183.901
10-14,2100,186.25
15-19,2025,163.624
15-19,2030,160.672
15-19,2035,156.576
15-19,2040,163.855
15-19,2045,168.325
15-19,2050,170.964
15-19,2055,172.906
15-19,2060,174.048
15-19,2065,174.966
15-19,2070,177.192
15-19,2075,180.535
15-19,2080,183.658
15-19,2085,185.904
15-19,2090,187.74
15-19,2095,189.359
15-19,2100,191.176
20-24,2025,169.959
20-24,2030,176.164
20-24,2035,173.226
20-24,2040,169.145
20-24,2045,176.427
20-24,2050,180.907
20-24,2055,183.551
20-24,2060,185.503
20-24,2065,186.65
20-24,2070,187.579
20-24,2075,189.813
20-24,2080,193.161
20-24,2085,196.289
20-24,2090,198.542
20-24,2095,200.386
20-24,2100,202.011
25-29,2025,182.427
25-29,2030,181.547
25-29,2035,187.758
25-29,2040,184.833
25-29,2045,180.767
25-29,2050,188.054
25-29,2055,192.54
25-29,2060,195.196
25-29,2065,197.154
25-29,2070,198.314
25-29,2075,199.25
25-29,2080,201.491
25-29,2085,204.847
25-29,2090,207.983
25-29,2095,210.241
25-29,2100,212.093
30-34,2025,188.991
30-34,2030,190.778
30-34,2035,189.916
30-34,2040,196.135
30-34,2045,193.228
30-34,2050,189.18
30-34,2055,196.474
30-34,2060,200.971
30-34,2065,203.637
30-34,2070,205.608
30-34,2075,206.776
30-34,2080,207.722
30-34,2085,209.977
30-34,2090,213.339
30-34,2095,216.483
30-34,2100,218.752
35-39,2025,189.818
35-39,2030,194.407
35-39,2035,196.213
35-39,2040,195.375
35-39,2045,201.607
35-39,2050,198.723
35-39,2055,194.698
35-39,2060,202.004
35-39,2065,206.515
35-39,2070,209.195
35-39,2075,211.183
35-39,2080,212.367
35-39,2085,213.328
35-39,2090,215.595
35-39,2095,218.968
35-39,2100,222.123
40-44,2025,178.073
40-44,2030,193.076
40-44,2035,197.689
40-44,2040,199.527
40-44,2045,198.721
40-44,2050,204.976
40-44,2055,202.124
40-44,2060,198.133
40-44,2065,205.455
40-44,2070,209.986
40-44,2075,212.686
40-44,2080,214.692
40-44,2085,215.9
40-44,2090,216.881
40-44,2095,219.161
40-44,2100,222.552
45-49,2025,168.992
45-49,2030,179.727
45-49,2035,194.729
45-49,2040,199.389
45-49,2045,201.275
45-49,2050,200.525
45-49,2055,206.81
45-49,2060,204.017
45-49,2065,200.078
45-49,2070,207.426
45-49,2075,211.989
45-49,2080,214.728
45-49,2085,216.767
45-49,2090,218.004
45-49,2095,219.018
45-49,2100,221.328
50-54,2025,182.97
50-54,2030,169.284
50-54,2035,180.038
50-54,2040,195.042
50-54,2045,199.766
50-54,2050,201.737
50-54,2055,201.081
50-54,2060,207.425
50-54,2065,204.723
50-54,2070,200.874
50-54,2075,208.269
50-54,2080,212.89
50-54,2085,215.69
50-54,2090,217.787
50-54,2095,219.083
50-54,2100,220.152
55-59,2025,181.444
55-59,2030,181.782
55-59,2035,168.402
55-59,2040,179.19
55-59,2045,194.193
55-59,2050,199.027
55-59,2055,201.124
55-59,2060,200.609
55-59,2065,207.044
55-59,2070,204.481
55-59,2075,200.775
55-59,2080,208.251
55-59,2085,212.962
55-59,2090,215.85
55-59,2095,218.042
55-59,2100,219.426
60-64,2025,160.58
60-64,2030,178.752
60-64,2035,179.329
60-64,2040,166.394
60-64,2045,177.23
60-64,2050,192.248
60-64,2055,197.238
60-64,2060,199.525
60-64,2065,199.218
60-64,2070,205.781
60-64,2075,203.431
60-64,2080,199.928
60-64,2085,207.518
60-64,2090,212.354
60-64,2095,215.381
60-64,2100,217.708
65-69,2025,149.308
65-69,2030,156.314
65-69,2035,174.34
65-69,2040,175.276
65-69,2045,162.983
65-69,2050,173.902
65-69,2055,188.943
65-69,2060,194.171
65-69,2065,196.737
65-69,2070,196.73
65-69,2075,203.499
65-69,2080,201.46
65-69,2085,198.256
65-69,2090,206.009
65-69,2095,211.04
65-69,2100,214.269
70-74,2025,131.391
70-74,2030,142.877
70-74,2035,150.117
70-74,2040,167.999
70-74,2045,169.448
70-74,2050,158.075
70-74,2055,169.142
70-74,2060,184.261
70-74,2065,189.846
70-74,2070,192.811
70-74,2075,193.257
70-74,2080,200.332
70-74,2085,198.728
70-74,2090,195.924
70-74,2095,203.929
70-74,2100,209.239
75-79,2025,124.98
75-79,2030,121.735
75-79,2035,133.204
75-79,2040,140.805
75-79,2045,158.437
75-79,2050,160.665
75-79,2055,150.638
75-79,2060,161.944
75-79,2065,177.192
75-79,2070,183.301
75-79,2075,186.905
75-79,2080,188.031
75-79,2085,195.579
75-79,2090,194.604
75-79,2095,192.426
75-79,2100,200.823
80-84,2025,81.027
80-84,2030,107.741
80-84,2035,106.078
80-84,2040,117.288
80-84,2045,125.178
80-84,2050,142.179
80-84,2055,145.458
80-84,2060,137.555
80-84,2065,149.077
80-84,2070,164.33
80-84,2075,171.264
80-84,2080,175.861
80-84,2085,178.09
80-84,2090,186.337
80-84,2095,186.501
80-84,2100,185.426
85-89,2025,46.809
85-89,2030,59.92
85-89,2035,81.086
85-89,2040,81.236
85-89,2045,91.293
85-89,2050,99.02
85-89,2055,114.213
85-89,2060,118.624
85-89,2065,113.831
85-89,2070,125.074
85-89,2075,139.809
85-89,2080,147.676
85-89,2085,153.606
85-89,2090,157.41
85-89,2095,166.692
85-89,2100,168.765
90-94,2025,23.056
90-94,2030,25.294
90-94,2035,33.177
90-94,2040,46.017
90-94,2045,47.196
90-94,2050,54.315
90-94,2055,60

.289
90-94,2060,71.171
90-94,2065,75.637
90-94,2070,74.203
90-94,2075,83.426
90-94,2080,95.396
90-94,2085,103.05
90-94,2090,109.492
90-94,2095,114.724
90-94,2100,124.189
95-99,2025,7.043
95-99,2030,7.256
95-99,2035,8.18
95-99,2040,11.033
95-99,2045,15.727
95-99,2050,16.589
95-99,2055,19.629
95-99,2060,22.418
95-99,2065,27.236
95-99,2070,29.774
95-99,2075,30.1
95-99,2080,34.884
95-99,2085,41.135
95-99,2090,45.782
95-99,2095,50.227
95-99,2100,54.372
100+,2025,1.144
100+,2030,1.123
100+,2035,1.171
100+,2040,1.333
100+,2045,1.797
100+,2050,2.598
100+,2055,2.903
100+,2060,3.481
100+,2065,4.088
100+,2070,5.051
100+,2075,5.746
100+,2080,6.056
100+,2085,7.086
100+,2090,8.547
100+,2095,9.882
100+,2100,11.231